time,value,time,dayofweek,hour,Occupancy_State
2018-08-02 17:58:00,1,2018-08-02 17:58:00,3,17,1
2018-08-02 17:59:00,1,2018-08-02 17:59:00,3,17,1
2018-08-02 18:01:00,1,2018-08-02 18:01:00,3,18,1
2018-08-02 18:02:00,1,2018-08-02 18:02:00,3,18,1
2018-08-02 18:03:00,1,2018-08-02 18:03:00,3,18,1
2018-08-02 18:05:00,1,2018-08-02 18:05:00,3,18,1
2018-08-02 18:06:00,1,2018-08-02 18:06:00,3,18,1
2018-08-02 18:07:00,1,2018-08-02 18:07:00,3,18,1
2018-08-02 18:08:00,1,2018-08-02 18:08:00,3,18,1
2018-08-02 18:09:00,1,2018-08-02 18:09:00,3,18,1
2018-08-02 18:10:00,1,2018-08-02 18:10:00,3,18,1
2018-08-02 18:11:00,1,2018-08-02 18:11:00,3,18,1
2018-08-02 18:12:00,1,2018-08-02 18:12:00,3,18,1
2018-08-02 18:13:00,1,2018-08-02 18:13:00,3,18,1
2018-08-02 18:14:00,1,2018-08-02 18:14:00,3,18,1
2018-08-02 18:15:00,1,2018-08-02 18:15:00,3,18,1
2018-08-02 18:16:00,1,2018-08-02 18:16:00,3,18,1
2018-08-02 18:17:00,1,2018-08-02 18:17:00,3,18,1
2018-08-02 18:18:00,1,2018-08-02 18:18:00,3,18,1
2018-08-02 18:19:00,1,2018-08-02 18:19:00,3,18,1
2018-08-02 18:20:00,1,2018-08-02 18:20:00,3,18,1
2018-08-02 18:21:00,1,2018-08-02 18:21:00,3,18,1
2018-08-02 18:22:00,1,2018-08-02 18:22:00,3,18,1
2018-08-02 18:23:00,1,2018-08-02 18:23:00,3,18,1
2018-08-02 18:24:00,1,2018-08-02 18:24:00,3,18,1
2018-08-02 18:25:00,1,2018-08-02 18:25:00,3,18,1
2018-08-02 18:26:00,1,2018-08-02 18:26:00,3,18,1
2018-08-02 18:27:00,1,2018-08-02 18:27:00,3,18,1
2018-08-02 18:28:00,1,2018-08-02 18:28:00,3,18,1
2018-08-02 18:29:00,1,2018-08-02 18:29:00,3,18,1
2018-08-02 18:30:00,1,2018-08-02 18:30:00,3,18,1
2018-08-02 18:31:00,1,2018-08-02 18:31:00,3,18,1
2018-08-02 18:32:00,1,2018-08-02 18:32:00,3,18,1
2018-08-02 18:33:00,1,2018-08-02 18:33:00,3,18,1
2018-08-02 18:34:00,1,2018-08-02 18:34:00,3,18,1
2018-08-02 18:35:00,1,2018-08-02 18:35:00,3,18,1
2018-08-02 18:36:00,1,2018-08-02 18:36:00,3,18,1
2018-08-02 18:37:00,1,2018-08-02 18:37:00,3,18,1
2018-08-02 18:39:00,1,2018-08-02 18:39:00,3,18,1
2018-08-02 18:40:00,1,2018-08-02 18:40:00,3,18,1
2018-08-02 18:41:00,1,2018-08-02 18:41:00,3,18,1
2018-08-02 18:43:00,1,2018-08-02 18:43:00,3,18,1
2018-08-02 18:45:00,1,2018-08-02 18:45:00,3,18,1
2018-08-02 18:46:00,1,2018-08-02 18:46:00,3,18,1
2018-08-02 18:47:00,1,2018-08-02 18:47:00,3,18,1
2018-08-02 18:48:00,1,2018-08-02 18:48:00,3,18,1
2018-08-02 18:49:00,1,2018-08-02 18:49:00,3,18,1
2018-08-02 18:50:00,1,2018-08-02 18:50:00,3,18,1
2018-08-02 18:51:00,1,2018-08-02 18:51:00,3,18,1
2018-08-02 18:52:00,1,2018-08-02 18:52:00,3,18,1
2018-08-02 18:53:00,1,2018-08-02 18:53:00,3,18,1
2018-08-02 18:54:00,1,2018-08-02 18:54:00,3,18,1
2018-08-02 18:55:00,1,2018-08-02 18:55:00,3,18,1
2018-08-02 18:56:00,1,2018-08-02 18:56:00,3,18,1
2018-08-02 18:57:00,1,2018-08-02 18:57:00,3,18,1
2018-08-02 18:58:00,1,2018-08-02 18:58:00,3,18,1
2018-08-02 18:59:00,1,2018-08-02 18:59:00,3,18,1
2018-08-02 19:02:00,1,2018-08-02 19:02:00,3,19,1
2018-08-02 19:03:00,1,2018-08-02 19:03:00,3,19,1
2018-08-02 19:04:00,1,2018-08-02 19:04:00,3,19,1
2018-08-02 19:05:00,1,2018-08-02 19:05:00,3,19,1
2018-08-02 19:06:00,1,2018-08-02 19:06:00,3,19,1
2018-08-02 19:07:00,1,2018-08-02 19:07:00,3,19,1
2018-08-02 19:08:00,1,2018-08-02 19:08:00,3,19,1
2018-08-02 19:09:00,1,2018-08-02 19:09:00,3,19,1
2018-08-02 19:10:00,1,2018-08-02 19:10:00,3,19,1
2018-08-02 19:11:00,1,2018-08-02 19:11:00,3,19,1
2018-08-02 19:12:00,1,2018-08-02 19:12:00,3,19,1
2018-08-02 19:13:00,1,2018-08-02 19:13:00,3,19,1
2018-08-02 19:14:00,1,2018-08-02 19:14:00,3,19,1
2018-08-02 19:15:00,1,2018-08-02 19:15:00,3,19,1
2018-08-02 19:16:00,1,2018-08-02 19:16:00,3,19,1
2018-08-02 19:17:00,1,2018-08-02 19:17:00,3,19,1
2018-08-02 19:18:00,1,2018-08-02 19:18:00,3,19,1
2018-08-02 19:19:00,1,2018-08-02 19:19:00,3,19,1
2018-08-02 19:20:00,1,2018-08-02 19:20:00,3,19,1
2018-08-02 19:21:00,1,2018-08-02 19:21:00,3,19,1
2018-08-02 19:22:00,1,2018-08-02 19:22:00,3,19,1
2018-08-02 19:23:00,1,2018-08-02 19:23:00,3,19,1
2018-08-02 19:26:00,1,2018-08-02 19:26:00,3,19,1
2018-08-02 19:27:00,1,2018-08-02 19:27:00,3,19,1
